course_id	course_name_x	course_desc	units_x	course_name_y	units_y	College	Total # Students	# Responses	Response Rate	Hrs Per Week	Interest in student learning	Clearly explain course requirements	Clear learning objectives & goals	Instructor provides feedback to students to improve	Demonstrate importance of subject matter	Explains subject matter of course	Show respect for all students	Overall teaching rate	Overall course rate
90901	Ph D Seminar I	This seminar is intended for all first year PhD students in the Heinz College to introduce the research process and bring first year students into the intellectual community at Heinz The seminar includes presentations by Heinz College faculty student presentations of existing research and presentations from second year Heinz College students Through these experiences students will Become familiar with the kinds of research being done at Heinz Find faculty and students with similar research interests Understand the unseen steps and missteps along the way to a published paper Experience presenting technical research to a diverse audience Learn to provide helpful feedback on research presentations	12	Ph.D. Seminar I	12	Heinz College	10	8	80.00%	3.5	5	4.88	4.88	4.88	4.75	4.88	4.75	4.88	4.63
90906	Phd Econometrics I	Empirical research is most valuable when it uses data to answer specific causal questions as if in a randomized clinical trial In the absence of a real experiment we look for well controlled comparisons and or natural quasi experiments Some research designs are more convincing than others but the econometric methods behind them are almost always fairly simple This course provides an introduction to the most important items in an applied econometricians toolkit i analysis of randomized controlled trials ii regression models designed to control for variables that may mask the causal effects of interest iii difference in differences type strategies that use repeated observations to control for unobserved omitted factors and iv instrumental variables and regression discontinuity methods for the analysis of real and natural experiments In this course emphasis will be given to conceptual issues and statistical techniques that turn up in the applied research we read and do Many empirical examples will illustrate these ideas and techniques Within the Heinz College 90 906 is appropriate for first year PhD students plus first and second year Masters students who desire and are prepared for a rigorous course in econometrics as a base for more advanced research methodology Outside the Heinz school 90 906 may be of interest to graduate students in Engineering and Public Policy Social and Decision Science Software Engineering Psychology GSIA Philosophy Applied History or Architecture who need background in econometrics targeted toward social and policy research	12	Phd Econometrics I	12	Heinz College	18	14	77.80%	18.21	4.5	3.86	4.14	3.29	4.43	4.14	4.57	3.85	3.54
90907	Econometric Theory and Methods	This course covers a number of econometric models and techniques that are commonly used in applied microeconomics The core topics include a general framework for estimators which includes maximum likelihood and generalized method of moments discrete outcome models sample selection and related limited dependent variable or switching models duration and count models time series models panel data models variance estimation including clustering and the bootstrap and non parametric techniques The course is designed for PhD students who have completed 90 907 PhD Econometrics I or an equivalent course	12	Econometric Theory and Methods	12	Heinz College	11	7	63.60%	9.71	4.71	4.29	4.43	4.29	4.57	4.57	5	4.71	4.57
90908	Ph D Microeconomics	This course provides a semester long introduction to microeconomic analysis and its application The primary objective of the course is to familiarize students with the microeconomic paradigm and develop an appreciation of the usefulness and limitations of microeconomic analysis A further goal of the course is to develop and exercise students ability to use economic analysis in examining applied issues and more generally to help students acquire formal modeling skills the ability to reduce real world problems to useful and mathematically tractable representations This course is designed for the following students i Ph D students who want to increase their exposure to microeconomics but do not expect to use formal microeconomics in their research i e students for whom this course is likely to be their last course in microeconomics ii Ph D students who plan to study microeconomics beyond the introductory level of this course but do not have the background for the microeconomic sequence offered at GSIA and iii M S students who have an especially strong background in mathematics Notice that this course is not a close substitute for the first course in the Tepper microeconomics sequence Students who want to take more advanced microeconomics courses and who have the preparation are encouraged to investigate the courses offered at Tepper There are no formal prerequisites for this course However students are assumed to have a solid working knowledge of multivariate calculus You will take a brief math quiz in the first lecture to help you determine whether your math training is sufficient for the course Prior exposure to microeconomics in a good undergraduate level course is helpful but not required	12	Ph.D. Microeconomics	12	Heinz College	18	11	61.10%	7.73	5	4.91	5	4.73	4.91	4.91	5	4.91	4.91
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	45	31	68.90%	7.65	4.55	4.55	4.52	4.19	4.68	4.68	4.71	4.61	4.52
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	30	22	73.30%	8.82	4.14	3.76	3.81	3.67	4.05	3.9	4.24	3.86	3.48
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	35	23	65.70%	7.36	4.22	4.17	4.04	3.48	4.35	4.39	4.61	4.35	4
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	43	25	58.10%	7.28	4.28	4	3.88	3.76	4.4	4.4	4.44	4.2	4.08
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	42	40	95.20%	9.1	4.72	4.63	4.72	4.15	4.72	4.63	4.9	4.75	4.52
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	39	25	64.10%	6.48	4.48	4.28	4.48	4.16	4.76	4.68	4.6	4.68	4.48
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	38	35	92.10%	8.49	4.8	4.77	4.74	4.17	4.66	4.66	4.97	4.77	4.57
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	38	35	92.10%	8.49	4.8	4.77	4.74	4.17	4.66	4.66	4.97	4.77	4.57
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	30	10	33.30%	8.9	4.4	4.1	4.1	3.7	4.2	4.4	4.8	4.1	3.5
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	41	36	87.80%	7	4.61	4.61	4.61	4.17	4.67	4.58	4.89	4.72	4.56
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	38	37	97.40%	8.81	4.65	4.62	4.41	3.97	4.51	4.59	4.86	4.59	4.43
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	45	35	77.80%	6.63	4.38	4.29	4.23	3.91	4.57	4.43	4.66	4.4	4.23
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	39	27	69.20%	6.11	4.11	3.81	4	3.41	4.19	3.96	4.04	4.11	3.85
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	30	29	96.70%	6.76	4.69	4.52	4.45	4.07	4.41	4.48	4.62	4.52	4.17
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	35	35	100.00%	6.54	4.71	4.46	4.49	3.66	4.51	4.51	4.71	4.51	4.2
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	33	32	97.00%	5.75	4.66	4.63	4.5	3.69	4.66	4.53	4.69	4.44	4.25
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	28	13	46.40%	6.15	3.23	3.46	3.62	2.92	3.46	3.38	4.15	3.23	3
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	24	22	91.70%	7.59	4.73	4.55	4.68	4.32	4.64	4.59	4.91	4.82	4.64
94700	Organizational Design Implementation	This course draws on insights and knowledge about organizational behavior with an eye toward using such information for managing in complex organizations It is intended to provide managers with skills and perspectives that will enable them to work successfully in organizations Specific topics will include work motivation leadership job design biases in managerial decision making understanding group processes building bases of power in organizations managing conflict and the relationship between the organization and its environment	6	Organizational Design &amp; Implementation	6	Heinz College	21	18	85.70%	8	4.72	4.61	4.67	4.06	4.61	4.83	4.89	4.78	4.5
94701	Business Writing	This course focuses on effective writing techniques for professionals Assignments include a business proposal an employment letter a memo a performance evaluation and interoffice correspondence Since writing is a cumulative skill an emphasis is placed on the revision process through in class workshops Students learn to communicate professionally and succinctly using a variety of business formats	6	Business Writing	6	Heinz College	22	21	95.50%	6.29	4.95	4.86	4.95	4.9	4.95	4.86	4.95	4.9	4.86
94701	Business Writing	This course focuses on effective writing techniques for professionals Assignments include a business proposal an employment letter a memo a performance evaluation and interoffice correspondence Since writing is a cumulative skill an emphasis is placed on the revision process through in class workshops Students learn to communicate professionally and succinctly using a variety of business formats	6	Business Writing	6	Heinz College	22	22	100.00%	6.09	4.95	4.86	4.82	4.86	4.82	4.82	4.91	4.91	4.82
94701	Business Writing	This course focuses on effective writing techniques for professionals Assignments include a business proposal an employment letter a memo a performance evaluation and interoffice correspondence Since writing is a cumulative skill an emphasis is placed on the revision process through in class workshops Students learn to communicate professionally and succinctly using a variety of business formats	6	Business Writing	6	Heinz College	24	23	95.80%	6.83	4.52	4.43	4.48	4.48	4.43	4.41	4.55	4.32	4.17
94701	Business Writing	This course focuses on effective writing techniques for professionals Assignments include a business proposal an employment letter a memo a performance evaluation and interoffice correspondence Since writing is a cumulative skill an emphasis is placed on the revision process through in class workshops Students learn to communicate professionally and succinctly using a variety of business formats	6	Business Writing	6	Heinz College	24	23	95.80%	7.48	4.96	4.91	4.87	4.86	4.73	4.74	4.91	4.78	4.7
94701	Business Writing	This course focuses on effective writing techniques for professionals Assignments include a business proposal an employment letter a memo a performance evaluation and interoffice correspondence Since writing is a cumulative skill an emphasis is placed on the revision process through in class workshops Students learn to communicate professionally and succinctly using a variety of business formats	6	Business Writing	6	Heinz College	21	20	95.20%	7.4	4.6	4.45	4.65	4.35	4.65	4.55	4.75	4.35	4.25
94701	Business Writing	This course focuses on effective writing techniques for professionals Assignments include a business proposal an employment letter a memo a performance evaluation and interoffice correspondence Since writing is a cumulative skill an emphasis is placed on the revision process through in class workshops Students learn to communicate professionally and succinctly using a variety of business formats	6	Business Writing	6	Heinz College	18	18	100.00%	9.67	4.83	4.67	4.72	4.83	4.78	4.67	4.78	4.72	4.78
94701	Business Writing	This course focuses on effective writing techniques for professionals Assignments include a business proposal an employment letter a memo a performance evaluation and interoffice correspondence Since writing is a cumulative skill an emphasis is placed on the revision process through in class workshops Students learn to communicate professionally and succinctly using a variety of business formats	6	Business Writing	6	Heinz College	18	13	72.20%	7.31	4.38	4.46	4.38	4.38	4.38	4.31	4.69	4.15	3.92
94701	Business Writing	This course focuses on effective writing techniques for professionals Assignments include a business proposal an employment letter a memo a performance evaluation and interoffice correspondence Since writing is a cumulative skill an emphasis is placed on the revision process through in class workshops Students learn to communicate professionally and succinctly using a variety of business formats	6	Business Writing	6	Heinz College	17	17	100.00%	6.24	4.88	4.88	4.82	4.94	4.82	4.76	5	4.82	4.65
94702	Professional Writing	Communication in written form is an essential element of management Employers value talent with an aptitude for the effective exchange of information and ideas Accordingly this course focuses on teaching transferable writing skills pertaining to content organization format clarity and tone The course challenges students to convey critical thinking as they anticipate the perspectives of stakeholders in professional situations consider feasibility evaluate options and provide recommendations Class meetings entail readings discussions and editing sessions on the following topics business correspondence press releases Web content consulting reports executive summaries and proposals Coursework emphasizes precise concise persuasive writing based on authoritative sources Overall students are expected to demonstrate an interest in professional development beyond simply completing the assignments Writing resources and sample documents are provided	6	Professional Writing	6	Heinz College	25	19	76.00%	6.26	4.47	4.26	4.42	4.37	4.47	4.21	4.26	4.11	3.89
94702	Professional Writing	Communication in written form is an essential element of management Employers value talent with an aptitude for the effective exchange of information and ideas Accordingly this course focuses on teaching transferable writing skills pertaining to content organization format clarity and tone The course challenges students to convey critical thinking as they anticipate the perspectives of stakeholders in professional situations consider feasibility evaluate options and provide recommendations Class meetings entail readings discussions and editing sessions on the following topics business correspondence press releases Web content consulting reports executive summaries and proposals Coursework emphasizes precise concise persuasive writing based on authoritative sources Overall students are expected to demonstrate an interest in professional development beyond simply completing the assignments Writing resources and sample documents are provided	6	Professional Writing	6	Heinz College	24	16	66.70%	6.69	4.75	4.75	4.75	4.81	4.88	4.75	4.94	4.8	4.8
94702	Professional Writing	Communication in written form is an essential element of management Employers value talent with an aptitude for the effective exchange of information and ideas Accordingly this course focuses on teaching transferable writing skills pertaining to content organization format clarity and tone The course challenges students to convey critical thinking as they anticipate the perspectives of stakeholders in professional situations consider feasibility evaluate options and provide recommendations Class meetings entail readings discussions and editing sessions on the following topics business correspondence press releases Web content consulting reports executive summaries and proposals Coursework emphasizes precise concise persuasive writing based on authoritative sources Overall students are expected to demonstrate an interest in professional development beyond simply completing the assignments Writing resources and sample documents are provided	6	Professional Writing	6	Heinz College	24	10	41.70%	6.8	4.6	4.7	4.7	4.3	4.2	4.7	4.9	4.7	4.1
94705	Health Economics	This course will teach the student to use economic analysis to understand critical issues in health care and health policy We will address issues such as the following 1 What factors best explain the level and rate of growth of U S health expenditures 2 Does the recent high rate of growth of U S health care expenditures make U S firms less competitive in international markets 3 What are some of the likely consequences intended and unintended of the proposed reforms to Medicare 4 Can physicians induce demand for their services 5 What are the impacts of managed care on the health care system 6 Do strong affiliations between physicians and health plans hurt competition The student who successfully completes this course will be able to 1 Identify the flow of resources in the U S health care system how purchasers pay for their services and how providers obtain their revenues 2 Understand the value of health and health care 3 Evaluate how health care resources should be allocated 4 Describe the structure of the health insurance industry explain the incentives facing insurers understand the strategies they use to compete and their impacts on social welfare 5 Understand the demand for medical care and what role providers play in shaping this demand 6 Explain the economics of managed care and describe how competition works in health care Class will consist of lectures and group presentations Evaluation will include homework problems group projects and exams This course will interest any individual planning a career in health or related industries It will also be of interest to students who wish to understand how economics is applied to some of our most prominent and contentious policy issues Skill	12	Health Economics	12	Heinz College	28	10	35.70%	6.5	4.6	4.4	4.4	4.3	4.5	4.6	4.8	4.3	4.2
94706	Healthcare Information Systems	In a value based care delivery environment with its emphasis on improving costs and service efficiency without risking quality of care information technology has emerged as a powerful driving force in helping to achieve multiple goals within healthcare organizations The explosive advances in information technology combined with the current challenges facing healthcare delivery have created the need for skilled individuals who can develop understand manage and integrate healthcare information systems in organizations This course will explore the concepts and application of major information systems methodologies and approaches in the delivery of modern healthcare systems including traditional face to face online and mobile and social media enabled care delivery A semester long group project that synthesizes the different topics via the design and implementation of a working integrated healthcare decision support application will be a required component of the course	12	Healthcare Information Systems	12	Heinz College	28	14	50.00%	11	4.64	3.86	4.21	3.71	4.79	4.29	5	4.07	4.15
94718	Strategic Presentation Skills	As professionals we present ourselves in a variety of ways including the manner in which we collaborate write design visuals and speak Each of these influences how we are viewed how others position us in an organisation and in some cases the pace at which we accelerate towards our career goals The purpose of Strategic Presentation Skills is to use and further develop these skills to be able to produce and deliver focused creative evidence driven approaches to the way we present ourselves verbally Learning Objectives Speak with confidence and authority Develop a clear outline that organises and structures information for a presentation Apply good practice principles to presentations Appropriately target and engage an audience Apply principles of ethos pathos and logos Use visual aids appropriately Anticipate audience questions and respond confidently to them	6	Strategic Presentation Skills	6	Heinz College	11	5	45.50%	8	5	5	5	5	5	5	5	5	5
94718	Strategic Presentation Skills	As professionals we present ourselves in a variety of ways including the manner in which we collaborate write design visuals and speak Each of these influences how we are viewed how others position us in an organisation and in some cases the pace at which we accelerate towards our career goals The purpose of Strategic Presentation Skills is to use and further develop these skills to be able to produce and deliver focused creative evidence driven approaches to the way we present ourselves verbally Learning Objectives Speak with confidence and authority Develop a clear outline that organises and structures information for a presentation Apply good practice principles to presentations Appropriately target and engage an audience Apply principles of ethos pathos and logos Use visual aids appropriately Anticipate audience questions and respond confidently to them	6	Strategic Presentation Skills	6	Heinz College	12	5	41.70%	7.4	4.6	4.8	4.6	4.6	4.5	4.6	4.8	4.4	4.4
94718	Strategic Presentation Skills	As professionals we present ourselves in a variety of ways including the manner in which we collaborate write design visuals and speak Each of these influences how we are viewed how others position us in an organisation and in some cases the pace at which we accelerate towards our career goals The purpose of Strategic Presentation Skills is to use and further develop these skills to be able to produce and deliver focused creative evidence driven approaches to the way we present ourselves verbally Learning Objectives Speak with confidence and authority Develop a clear outline that organises and structures information for a presentation Apply good practice principles to presentations Appropriately target and engage an audience Apply principles of ethos pathos and logos Use visual aids appropriately Anticipate audience questions and respond confidently to them	6	Strategic Presentation Skills	6	Heinz College	11	1	9.10%	5	5	5	5	5	5	5	5	5	5
94718	Strategic Presentation Skills	As professionals we present ourselves in a variety of ways including the manner in which we collaborate write design visuals and speak Each of these influences how we are viewed how others position us in an organisation and in some cases the pace at which we accelerate towards our career goals The purpose of Strategic Presentation Skills is to use and further develop these skills to be able to produce and deliver focused creative evidence driven approaches to the way we present ourselves verbally Learning Objectives Speak with confidence and authority Develop a clear outline that organises and structures information for a presentation Apply good practice principles to presentations Appropriately target and engage an audience Apply principles of ethos pathos and logos Use visual aids appropriately Anticipate audience questions and respond confidently to them	6	Strategic Presentation Skills	6	Heinz College	9	4	44.40%	3.5	4.75	5	5	5	4.75	4.75	5	5	4.75
94718	Strategic Presentation Skills	As professionals we present ourselves in a variety of ways including the manner in which we collaborate write design visuals and speak Each of these influences how we are viewed how others position us in an organisation and in some cases the pace at which we accelerate towards our career goals The purpose of Strategic Presentation Skills is to use and further develop these skills to be able to produce and deliver focused creative evidence driven approaches to the way we present ourselves verbally Learning Objectives Speak with confidence and authority Develop a clear outline that organises and structures information for a presentation Apply good practice principles to presentations Appropriately target and engage an audience Apply principles of ethos pathos and logos Use visual aids appropriately Anticipate audience questions and respond confidently to them	6	Strategic Presentation Skills	6	Heinz College	9	7	77.80%	8	4.71	4.86	5	4.71	5	5	5	4.86	5
94718	Strategic Presentation Skills	As professionals we present ourselves in a variety of ways including the manner in which we collaborate write design visuals and speak Each of these influences how we are viewed how others position us in an organisation and in some cases the pace at which we accelerate towards our career goals The purpose of Strategic Presentation Skills is to use and further develop these skills to be able to produce and deliver focused creative evidence driven approaches to the way we present ourselves verbally Learning Objectives Speak with confidence and authority Develop a clear outline that organises and structures information for a presentation Apply good practice principles to presentations Appropriately target and engage an audience Apply principles of ethos pathos and logos Use visual aids appropriately Anticipate audience questions and respond confidently to them	6	Strategic Presentation Skills	6	Heinz College	13	10	76.90%	7.1	4.7	4.5	4.7	4.7	4.8	4.7	4.7	4.7	4.6
94728	Business Intelligence Analytics	Most businesses today use Business Intelligence technologies to analyze and transform data into actionable intelligence that supports an organizations strategic and tactical business decision decision making This course provides potential IT managers with an understanding of the issues involved in designing developing and implementing business intelligence solutions In particular the course will focus on specific technologies including data mining data warehousing and data visualization Students will be engaged with hand on tutorials and assignments using cutting edge data visualization data cleansing and data mining tools for business intelligence Case studies describing organizational experiences with business intelligence and analytics will be used to give a management focus Ultimately the course provides insights into managerial issues relevant to these technologies along with strong hands on experience using the tools themselves	6	Business Intelligence &amp; Analytics	6	Heinz College	39	26	66.70%	10.04	4.23	4	3.88	3.92	4.23	4	4.58	4	3.85
94774	Business Process Modeling	Processes are the core technologies of all organizations for producing and delivering products and services that satisfy customer needs Increasingly in order to continue to serve their customers and remain competitive organizations are required to continuously analyze redesign and improve their end to end core business processes in shorter and shorter time frames to achieve operational goals Realizing this end to end business process integration requires an IT infrastructure that enables people processes and information to be integrated in a flexible manner	6	Business Process Modeling	6	Heinz College	29	15	51.70%	11.06	4.69	4.69	4.63	4.25	4.56	4.56	4.81	4.5	4.38
94774	Business Process Modeling	Processes are the core technologies of all organizations for producing and delivering products and services that satisfy customer needs Increasingly in order to continue to serve their customers and remain competitive organizations are required to continuously analyze redesign and improve their end to end core business processes in shorter and shorter time frames to achieve operational goals Realizing this end to end business process integration requires an IT infrastructure that enables people processes and information to be integrated in a flexible manner	6	Business Process Modeling	6	Heinz College	34	17	50.00%	10.88	4.35	4.47	4.53	4.06	4.29	4.41	4.81	4.24	4
94774	Business Process Modeling	Processes are the core technologies of all organizations for producing and delivering products and services that satisfy customer needs Increasingly in order to continue to serve their customers and remain competitive organizations are required to continuously analyze redesign and improve their end to end core business processes in shorter and shorter time frames to achieve operational goals Realizing this end to end business process integration requires an IT infrastructure that enables people processes and information to be integrated in a flexible manner	6	Business Process Modeling	6	Heinz College	30	15	50.00%	11.2	4.8	4.8	4.8	4.8	4.87	4.8	4.73	4.8	4.8
94775	Unstructured Data Analytics for Policy	Companies governments and other organizations now collect massive amounts of data such as text images audio and video How do we turn this heterogeneous mess of data into actionable insights A common problem is that we often do not know what structure underlies the data ahead of time hence the data often being referred to as unstructured This course takes a practical approach to unstructured data analysis via a two step approach We first examine how to identify possible structure present in the data via visualization and other exploratory methods Once we have clues for what structure is present in the data we turn toward exploiting this structure to make predictions Many examples are given for how these methods help solve real problems faced by organizations There is a final project in this course which must address a policy question How this course differs from 95 865 Unstructured Data Analysis 95 865 emphasizes more of the technical skill development assessed through two in class exams involving coding and does not have any sort of policy focus 94 775 has a policy focused final project instead of a final exam 94 775 does not require cloud computing part of 95 865 requires the use of Amazon Web Services Despite these differences there is heavy material overlap between 94 775 and 95 865 You cannot get credit for both 94 775 and 95 865	6	Unstructured Data Analytics for Policy	6	Heinz College	26	14	53.80%	16.43	4.21	4	4	3.93	4.29	4.14	4.29	3.86	3.86
94800	Negotiation	Welcome to Negotiation You knew it all along Life isnt fair Perhaps what you didnt know though is that you can learn to do something about it Negotiation is not only a talent you can be born with its also a skill that can be learned This course focuses on improving fundamental negotiating competencies in personal and organizational contexts Negotiation is both an art and a science This course will teach you how to negotiate more effectively through a combination of assessments exercises and simulations In subject matter and approach this class is designed to provide understanding and insight into your present negotiating abilities as well as challenge your comfort zone to allow for continuous improvement going forward Negotiation is fast paced interactive and hands on Drawing upon current research and recognized best practices we will emphasize both basic mastery and practical application of the subject matter covered In that respect and perhaps unlike your other classes at the Heinz College this course will have elements of both education learning about and training learning how to	6	Negotiation	6	Heinz College	31	16	51.60%	7.25	4.63	4.63	4.56	4.25	4.63	4.63	4.81	4.56	4.44
94800	Negotiation	Welcome to Negotiation You knew it all along Life isnt fair Perhaps what you didnt know though is that you can learn to do something about it Negotiation is not only a talent you can be born with its also a skill that can be learned This course focuses on improving fundamental negotiating competencies in personal and organizational contexts Negotiation is both an art and a science This course will teach you how to negotiate more effectively through a combination of assessments exercises and simulations In subject matter and approach this class is designed to provide understanding and insight into your present negotiating abilities as well as challenge your comfort zone to allow for continuous improvement going forward Negotiation is fast paced interactive and hands on Drawing upon current research and recognized best practices we will emphasize both basic mastery and practical application of the subject matter covered In that respect and perhaps unlike your other classes at the Heinz College this course will have elements of both education learning about and training learning how to	6	Negotiation	6	Heinz College	34	19	55.90%	5.79	4.42	4.63	4.47	4.32	4.68	4.58	4.74	4.53	4.47
94800	Negotiation	Welcome to Negotiation You knew it all along Life isnt fair Perhaps what you didnt know though is that you can learn to do something about it Negotiation is not only a talent you can be born with its also a skill that can be learned This course focuses on improving fundamental negotiating competencies in personal and organizational contexts Negotiation is both an art and a science This course will teach you how to negotiate more effectively through a combination of assessments exercises and simulations In subject matter and approach this class is designed to provide understanding and insight into your present negotiating abilities as well as challenge your comfort zone to allow for continuous improvement going forward Negotiation is fast paced interactive and hands on Drawing upon current research and recognized best practices we will emphasize both basic mastery and practical application of the subject matter covered In that respect and perhaps unlike your other classes at the Heinz College this course will have elements of both education learning about and training learning how to	6	Negotiation	6	Heinz College	30	12	40.00%	7.5	4.92	4.75	4.92	4.5	4.83	4.92	4.92	4.83	4.83
94800	Negotiation	Welcome to Negotiation You knew it all along Life isnt fair Perhaps what you didnt know though is that you can learn to do something about it Negotiation is not only a talent you can be born with its also a skill that can be learned This course focuses on improving fundamental negotiating competencies in personal and organizational contexts Negotiation is both an art and a science This course will teach you how to negotiate more effectively through a combination of assessments exercises and simulations In subject matter and approach this class is designed to provide understanding and insight into your present negotiating abilities as well as challenge your comfort zone to allow for continuous improvement going forward Negotiation is fast paced interactive and hands on Drawing upon current research and recognized best practices we will emphasize both basic mastery and practical application of the subject matter covered In that respect and perhaps unlike your other classes at the Heinz College this course will have elements of both education learning about and training learning how to	6	Negotiation	6	Heinz College	34	25	73.50%	6.08	4.36	4.36	4.52	3.84	4.6	4.44	4.64	4.24	4.44
